2022-12-23 12:50:13.021329 – запущена функция grettings без аргументов (Приветствие)
2022-12-23 12:50:13.022407 – запущена функция menu без аргументов (Меню справочника)
2022-12-23 12:50:17.973587 – запущена функция input_data без аргументов (None)
2022-12-23 12:51:05.938330 – запущена функция menu без аргументов (Меню справочника)
2022-12-23 12:51:10.267794 – запущена функция print_book с аргументами (None)
2022-12-23 12:51:10.268792 – запущена функция menu без аргументов (Меню справочника)
2022-12-23 12:51:17.637836 – запущена функция input_data без аргументов (None)
2022-12-23 12:51:58.738421 – запущена функция menu без аргументов (Меню справочника)
2022-12-23 12:52:02.284020 – запущена функция print_book с аргументами (None)
2022-12-23 12:52:02.284989 – запущена функция menu без аргументов (Меню справочника)
